index	map	name
3401	10000012	太阳神之翼神龙
3411	4280259	召命之神弓-阿波罗萨
3415	65741787	I：P伪装舞会莱娜
3421	38342336	梦幻崩影·独角兽
3423	95440947	黄金卿 黄金国巫妖
3433	90673289	闪刀姬-雫空
3434	63166096	闪刀起动-交闪
3437	9205574	邪恶★双子 姬丝基勒
3438	36609519	邪恶★双子 璃拉
3801	89631139	青眼白龙
3863	46986418	黑魔术师
3868	10000002	欧贝利斯克之巨神兵
3869	10000022	奥西里斯之天空龙
3881	89943724	元素英雄 新宇侠
3882	44508095	星尘龙
3891	14558128	灰流丽
3892	73642297	屋敷童
3894	20366275	神影依·拿非利
3895	94977270	神影依·米德拉什
3899	63288574	闪刀姬-燎里
3900	41456842|91512836	昆虫怪兽衍生物
3901	40703223	栗子球衍生物
3902	73915052	羔羊衍生物
3903	73915053	羔羊衍生物
3904	73915054	羔羊衍生物
3905	73915055	羔羊衍生物
3906	22493812	兵队衍生物
3907	21770261|79387393	史莱姆怪兽衍生物
3908	65810490	邪神衍生物
3909	86801872	毒蛇衍生物
3910	62543394	裂蕈牙衍生物
3911	86871615	克隆衍生物
3912	12965762	魔草衍生物
3913	1426715	幻影衍生物
3914	24874631	金属恶魔衍生物
3915	29843092	扰乱衍生物
3916	29843093	扰乱衍生物
3917	29843094	扰乱衍生物
3918	60764582	羔羊衍生物
3919	60764583	羔羊衍生物
3920	75622825	诡术师衍生物
3921	48115278	积木衍生物
3922	44330099	冥府之使者 凯恩衍生物
3923	69890968	幻魔衍生物
3924	93224849	幻魔的殉教者衍生物
3925	15341823	绵毛衍生物
3926	15341822	绵毛衍生物
3927	93130022	子机衍生物
3928	16946850	人造天使衍生物
3929	28355719	双身人衍生物
3930	64382840	异娃衍生物
3931	23116809|98596597	火之玉衍生物
3932	68815402	狂焰衍生物
3933	56597273	云魔物衍生物
3934	44459943|65515668|77672445|78394033|82556059	马达衍生物
3935	12958920	铳士衍生物
3936	75732623	拷问衍生物
3937	31986289	魔界蔷薇衍生物
3938	14089429	雷电子机衍生物
3939	75524093	邪心衍生物
3940	46173680	黑焰衍生物
3941	60406592	魔界凤仙花衍生物
3942	97452818	月衍生物
3943	49808197	代谢衍生物
3944	83239740	牡蛎衍生物
3945	66661679	冰棺衍生物
3946	30069399	常春藤衍生物
3947	82994510	笔头菜衍生物
3948	71645243|76524507|99092625	蔷薇衍生物
3949	93912846	礼物魔衍生物
3950	28062326	植物衍生物
3951	38041941	花种衍生物
3952	74440056	针衍生物
3953	42956964	梦魇恶魔衍生物
3954	44689689	棘龙衍生物
3955	51987572	岩石衍生物
3956	85771020	阿斯蒙衍生物
3957	85771021	蒂斯衍生物
3958	35268888	幽灵衍生物
3959	48411997	朱罗纪衍生物
3960	43140792	虫衍生物
3961	35514097	分机衍生物
3962	17000166|21179144	爬虫妖衍生物
3963	56051649	蜘蛛衍生物
3964	82324106	灵魂衍生物
3965	82340057	祭品石碑衍生物
3966	74983882	玉米粒衍生物
3967	47658965	熔岩衍生物
3968	176393	核成衍生物
3969	70391589	星食衍生物
3970	15629802	圆舞衍生物
3971	27450401	钟摆衍生物
3972	53855410|53855411	二重身衍生物
3973	15394084	极星兽衍生物
3974	40844553	英灵衍生物
3975	42671152	邪精衍生物
3976	7392746	小鼠骨衍生物
3977	17418745	光子衍生物
3978	10389143	战鹰衍生物
3979	904186|4417408|16943771|30811117|31480216|31533705|41329459|44026394|44097051|66200211|67489920|67922703|70875956|72291079	幻兽机衍生物
3980	67949764	阴影蜃景衍生物
3981	39972130	影武者狸衍生物
3982	1426715	幻影衍生物
3983	8198621	暗魂体衍生物
3984	32446631	魂魄衍生物
3985	9047461	蒸汽衍生物
3986	9925983	黑羽-黑冠衍生物
